2026-03-30 21:49:12,703 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 14:52:47,066 | recv | /reward | [0.5]
2026-04-06 14:52:47,069 | recv | /adm/obj/101/xyz | [-0.290294349193573, -0.4456053376197815, -0.2517334520816803]
2026-04-06 14:52:47,078 | send | /adm/obj/1/xyz | [-1.0, 0.2541514039039612, -0.23304302990436554]
2026-04-06 14:52:47,109 | recv | /adm/obj/1/xyz | [-1.0, 0.2541514039039612, -0.23304302990436554]
2026-04-06 14:53:10,210 | recv | /reward | [0.5]
2026-04-06 14:53:10,211 | recv | /adm/obj/101/xyz | [-0.6213763356208801, -0.16913872957229614, -0.14484745264053345]
2026-04-06 14:53:10,224 | send | /adm/obj/1/xyz | [0.32466813921928406, 0.6186307072639465, 0.750308632850647]
2026-04-06 14:53:10,230 | recv | /adm/obj/1/xyz | [0.32466813921928406, 0.6186307072639465, 0.750308632850647]
2026-04-06 14:53:13,691 | recv | /reward | [0.5]
2026-04-06 14:53:13,692 | recv | /adm/obj/101/xyz | [-0.6958814859390259, 0.10760072618722916, 0.09532469511032104]
2026-04-06 14:53:13,704 | send | /adm/obj/1/xyz | [-1.0, 1.0, 0.2593861520290375]
2026-04-06 14:53:13,708 | recv | /adm/obj/1/xyz | [-1.0, 1.0, 0.2593861520290375]
2026-04-06 14:53:44,753 | recv | /reward | [1.0]
2026-04-06 14:53:44,754 | recv | /adm/obj/101/xyz | [-0.5116150379180908, 0.35514283180236816, 0.15362413227558136]
2026-04-06 14:53:44,768 | send | /adm/obj/1/xyz | [1.0, -0.5525755286216736, 1.0]
2026-04-06 14:53:44,779 | recv | /adm/obj/1/xyz | [1.0, -0.5525755286216736, 1.0]
2026-04-06 14:54:21,895 | recv | /adm/obj/1/xyz | [1.0, -0.5540000200271606, 1.0]
2026-04-06 14:54:22,035 | recv | /adm/obj/1/xyz | [1.0, -0.5559999942779541, 1.0]
2026-04-06 14:54:22,812 | recv | /adm/obj/1/xyz | [0.9700000286102295, -0.5559999942779541, 1.0]
2026-04-06 14:54:22,958 | recv | /adm/obj/1/xyz | [0.9399999976158142, -0.5559999942779541, 1.0]
2026-04-06 14:54:23,534 | recv | /adm/obj/1/xyz | [0.9679999947547913, -0.5559999942779541, 1.0]
2026-04-06 14:54:23,847 | recv | /adm/obj/1/xyz | [1.0, -0.5559999942779541, 1.0]
2026-04-06 14:57:02,865 | recv | /episode/reset_manual | [1]
2026-04-06 14:57:02,866 | recv | /adm/obj/101/xyz | [-0.8087431192398071, 0.3696931302547455, 0.38190850615501404]
2026-04-06 14:57:02,868 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 14:57:02,873 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-06 14:57:02,963 | send | /adm/obj/1/xyz | [-0.05679384246468544, -0.4148102402687073, 0.45960086584091187]
2026-04-06 14:57:02,972 | recv | /adm/obj/1/xyz | [-0.05679384246468544, -0.4148102402687073, 0.45960086584091187]
2026-04-06 14:57:07,906 | recv | /training/stop | [1]
2026-04-06 14:57:07,907 | recv | /adm/obj/101/xyz | [-0.04517063498497009, 0.19830003380775452, 0.03189792484045029]
2026-04-06 14:57:07,907 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 14:57:07,911 | recv | /adm/obj/101/xyz | [0.0, 0.0, 0.0]
2026-04-06 14:59:08,933 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 14:59:11,406 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 14:59:12,416 | send | /adm/obj/1/xyz | [-0.5090706944465637, 0.6026302576065063, 0.3393765389919281]
2026-04-06 14:59:12,424 | recv | /adm/obj/1/xyz | [-0.5090706944465637, 0.6026302576065063, 0.3393765389919281]
2026-04-06 14:59:30,425 | recv | /adm/obj/2/xyz | [0.0, 0.0, 0.0]
2026-04-06 14:59:40,935 | recv | /reward | [1.0]
2026-04-06 14:59:40,941 | recv | /adm/obj/2/xyz | [-0.06366612762212753, 0.35774344205856323, 0.05347322300076485]
2026-04-06 14:59:40,948 | send | /adm/obj/1/xyz | [0.8864403367042542, 0.8168112635612488, 1.0]
2026-04-06 14:59:40,952 | recv | /adm/obj/1/xyz | [0.8864403367042542, 0.8168112635612488, 1.0]
2026-04-06 15:00:00,229 | recv | /reward | [0.5]
2026-04-06 15:00:00,232 | recv | /adm/obj/2/xyz | [0.23723113536834717, 0.1925683468580246, -0.32823100686073303]
2026-04-06 15:00:00,241 | send | /adm/obj/1/xyz | [0.3247339427471161, -0.7702433466911316, 0.5519421100616455]
2026-04-06 15:00:00,244 | recv | /adm/obj/1/xyz | [0.3247339427471161, -0.7702433466911316, 0.5519421100616455]
2026-04-06 15:00:26,336 | recv | /reward | [1.0]
2026-04-06 15:00:26,337 | recv | /adm/obj/2/xyz | [0.24939920008182526, -0.05729588866233826, -0.128085196018219]
2026-04-06 15:00:26,342 | send | /adm/obj/1/xyz | [-0.45848989486694336, 1.0, -1.0]
2026-04-06 15:00:26,346 | recv | /adm/obj/1/xyz | [-0.45848989486694336, 1.0, -1.0]
2026-04-06 15:02:20,621 | recv | /reward | [1.0]
2026-04-06 15:02:20,622 | recv | /adm/obj/2/xyz | [0.34422019124031067, 0.11257603019475937, -0.2313537448644638]
2026-04-06 15:02:20,632 | send | /adm/obj/1/xyz | [-0.6459976434707642, 1.0, -0.16181889176368713]
2026-04-06 15:02:20,637 | recv | /adm/obj/1/xyz | [-0.6459976434707642, 1.0, -0.16181889176368713]
2026-04-06 15:46:59,914 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 15:47:02,379 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 15:47:03,389 | send | /adm/obj/1/xyz | [0.18625931441783905, -0.7641885876655579, 1.0]
2026-04-06 15:47:03,401 | recv | /adm/obj/1/xyz | [0.18625931441783905, -0.7641885876655579, 1.0]
2026-04-06 15:49:31,658 | recv | /reward | [1.0]
2026-04-06 15:49:31,670 | send | /adm/obj/1/xyz | [1.0, -0.19901438057422638, -1.0]
2026-04-06 15:49:31,674 | recv | /adm/obj/1/xyz | [1.0, -0.19901438057422638, -1.0]
2026-04-06 15:51:35,620 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 15:51:38,098 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 15:51:39,108 | send | /adm/obj/1/xyz | [-0.8647260069847107, -0.2614492177963257, 1.0]
2026-04-06 15:51:39,116 | recv | /adm/obj/1/xyz | [-0.8647260069847107, -0.2614492177963257, 1.0]
2026-04-06 15:52:21,382 | recv | /reward | [1.0]
2026-04-06 15:52:21,397 | send | /adm/obj/1/xyz | [-1.0, -1.0, 1.0]
2026-04-06 15:52:21,402 | recv | /adm/obj/1/xyz | [-1.0, -1.0, 1.0]
2026-04-06 15:56:17,643 | listener_started | / | ['0.0.0.0, 9001']
2026-04-06 15:56:20,121 | send | /episode/reset | [0.0, 0.0, 0.0]
2026-04-06 15:56:21,131 | send | /adm/obj/1/xyz | [-1.0, 1.0, -0.615850567817688]
2026-04-06 15:56:21,143 | recv | /adm/obj/1/xyz | [-1.0, 1.0, -0.615850567817688]
2026-04-06 15:56:30,114 | recv | /reward | [1.0]
2026-04-06 15:56:30,118 | recv | /adm/obj/101/xyz | [0.12397443503141403, 0.19192203879356384, -0.03592987358570099]
2026-04-06 15:56:30,134 | send | /adm/obj/1/xyz | [-0.6527576446533203, -1.0, -0.15037108957767487]
2026-04-06 15:56:30,137 | recv | /adm/obj/1/xyz | [-0.6527576446533203, -1.0, -0.15037108957767487]
2026-04-06 15:56:47,624 | recv | /reward | [1.0]
2026-04-06 15:56:47,626 | recv | /adm/obj/101/xyz | [0.2352021485567093, 0.27513203024864197, -0.12301274389028549]
2026-04-06 15:56:47,636 | send | /adm/obj/1/xyz | [0.9471105933189392, -0.9516536593437195, -0.6395504474639893]
2026-04-06 15:56:47,640 | recv | /adm/obj/1/xyz | [0.9471105933189392, -0.9516536593437195, -0.6395504474639893]
2026-04-06 16:04:11,788 | recv | /reward | [1.0]
2026-04-06 16:04:11,792 | recv | /adm/obj/101/xyz | [0.1030094102025032, 0.3061769902706146, -0.1641252189874649]
2026-04-06 16:04:11,801 | send | /adm/obj/1/xyz | [0.27102339267730713, 0.1209399402141571, 1.0]
2026-04-06 16:04:11,807 | recv | /adm/obj/1/xyz | [0.27102339267730713, 0.1209399402141571, 1.0]
2026-04-06 16:05:27,414 | recv | /reward | [0.5]
2026-04-06 16:05:27,415 | recv | /adm/obj/101/xyz | [0.2510266602039337, -0.024270351976156235, -0.14796550571918488]
2026-04-06 16:05:27,428 | send | /adm/obj/1/xyz | [-0.19246837496757507, 0.05698798596858978, -1.0]
2026-04-06 16:05:27,432 | recv | /adm/obj/1/xyz | [-0.19246837496757507, 0.05698798596858978, -1.0]
